Country,avg_d_mbps,avg_d_mbps_w,k_tests,year,d_type
Democratic Republic of the Congo,17.1,10.4,7.8,2022,fixed
Denmark,192.7,190.7,1514.6,2022,fixed
Djibouti,9.7,11.4,2.8,2022,fixed
Dominica,74.2,68.5,6.1,2022,fixed
Dominican Republic,28.1,23.6,1456.5,2022,fixed
East Timor,19.8,9.6,0.1,2022,fixed
Ecuador,49.0,41.9,2800.0,2022,fixed
Egypt,21.0,15.5,4682.6,2022,fixed
El Salvador,31.7,21.3,915.8,2022,fixed
Equatorial Guinea,5.8,7.0,0.8,2022,fixed
Eritrea,3.1,3.3,0.3,2022,fixed
Estonia,91.5,85.6,179.0,2022,fixed
Ethiopia,9.6,7.5,63.1,2022,fixed
Falkland Islands,8.3,4.2,0.0,2022,fixed
Faroe Islands,60.1,58.0,7.9,2022,fixed
Federated States of Micronesia,33.0,13.5,0.8,2022,fixed
Fiji,20.9,18.4,18.6,2022,fixed
Finland,132.0,127.9,1096.2,2022,fixed
France,204.8,197.7,5896.7,2022,fixed
French Polynesia,28.7,24.4,26.4,2022,fixed
Gabon,34.1,30.5,29.1,2022,fixed
Georgia,25.6,22.4,164.8,2022,fixed
Germany,121.3,113.6,12100.9,2022,fixed
Ghana,35.8,33.2,55.1,2022,fixed
Greece,44.7,40.1,3199.4,2022,fixed
Greenland,25.2,38.5,5.7,2022,fixed
Grenada,76.2,72.4,5.3,2022,fixed
Guam,49.7,50.7,21.2,2022,fixed
Guatemala,30.5,19.4,1397.5,2022,fixed
Guernsey,54.5,52.1,23.5,2022,fixed
Guinea,9.1,7.1,0.8,2022,fixed
Guinea-Bissau,5.9,4.5,1.0,2022,fixed
Guyana,51.4,44.6,50.7,2022,fixed
Haiti,21.6,17.9,28.4,2022,fixed
Honduras,30.2,21.0,521.8,2022,fixed
Hong Kong,245.6,248.8,1883.6,2022,fixed
Hungary,173.4,163.5,1482.4,2022,fixed
Iceland,212.9,231.7,56.8,2022,fixed
India,70.4,45.9,36238.2,2022,fixed
Indonesia,23.4,19.8,17642.0,2022,fixed
Iran,17.6,13.3,1366.9,2022,fixed
Iraq,27.1,18.5,882.4,2022,fixed
Ireland,130.8,136.6,2034.6,2022,fixed
Isle of Man,76.3,76.9,37.1,2022,fixed
Israel,184.9,166.3,1378.8,2022,fixed
Italy,114.5,108.0,15341.8,2022,fixed
Ivory Coast,42.9,28.4,43.3,2022,fixed
Jamaica,46.3,43.1,230.6,2022,fixed
Japan,182.8,177.4,5329.3,2022,fixed
Jersey,171.6,171.6,29.8,2022,fixed
Jordan,102.5,67.7,1900.5,2022,fixed
Kazakhstan,54.7,34.9,1039.7,2022,fixed
Kenya,13.7,10.5,390.0,2022,fixed
Kiribati,71.0,36.3,0.0,2022,fixed
Kosovo,66.0,54.3,260.7,2022,fixed
Kuwait,133.1,124.1,289.1,2022,fixed
Kyrgyzstan,39.0,35.2,91.1,2022,fixed
Laos,47.2,39.6,131.2,2022,fixed
Latvia,114.5,102.1,323.2,2022,fixed
Lebanon,16.3,15.5,475.6,2022,fixed
Lesotho,21.1,20.0,2.0,2022,fixed
Liberia,15.1,12.1,1.9,2022,fixed
Libya,13.9,13.8,167.2,2022,fixed
Liechtenstein,159.8,144.8,6.8,2022,fixed
Lithuania,126.1,95.2,311.2,2022,fixed
Luxembourg,172.1,167.0,154.0,2022,fixed
Macau,179.6,179.6,17.8,2022,fixed
Madagascar,30.1,25.5,10.1,2022,fixed
Malawi,17.1,11.5,3.9,2022,fixed
Malaysia,125.8,114.3,5858.9,2022,fixed
Maldives,23.7,31.9,1.2,2022,fixed
Mali,25.9,22.1,21.7,2022,fixed
Malta,143.3,139.9,113.5,2022,fixed
Mauritania,18.3,11.6,17.2,2022,fixed
Mauritius,39.7,36.5,98.9,2022,fixed
Mexico,56.1,45.9,25822.3,2022,fixed
Moldova,106.6,77.8,168.1,2022,fixed
Monaco,218.7,211.7,11.4,2022,fixed
Mongolia,50.6,44.8,26.5,2022,fixed
Montenegro,68.7,65.1,122.2,2022,fixed
Montserrat,63.5,65.0,0.0,2022,fixed
Morocco,28.4,25.7,2489.3,2022,fixed
Mozambique,8.9,7.0,32.0,2022,fixed
Myanmar,21.5,18.3,984.7,2022,fixed
Namibia,14.1,10.3,60.9,2022,fixed
Nauru,2.4,2.4,0.0,2022,fixed
Nepal,56.4,41.5,868.5,2022,fixed
Netherlands,160.3,152.6,5234.9,2022,fixed
New Caledonia,68.9,69.2,8.5,2022,fixed
New Zealand,167.2,172.6,838.2,2022,fixed
Nicaragua,47.3,37.7,393.1,2022,fixed
Niger,7.6,7.2,7.0,2022,fixed
Nigeria,14.9,13.8,104.6,2022,fixed
Niue,4.9,4.9,0.0,2022,fixed
Norfolk Island,19.3,19.3,0.2,2022,fixed
North Korea,104.7,148.8,0.1,2022,fixed
Northern Mariana Islands,51.3,97.4,1.3,2022,fixed
Norway,161.9,158.1,1555.5,2022,fixed
Oman,74.3,67.6,1238.9,2022,fixed
Pakistan,12.1,8.8,7663.4,2022,fixed
Palau,15.2,16.6,0.1,2022,fixed
Palestine,102.3,92.5,223.5,2022,fixed
Panama,149.7,134.6,844.8,2022,fixed
Papua New Guinea,15.0,14.2,3.0,2022,fixed
Paraguay,79.0,63.6,566.2,2022,fixed
People's Republic of China,213.6,201.8,27865.6,2022,fixed
Peru,77.6,61.1,2018.7,2022,fixed
Philippines,79.7,61.7,21795.2,2022,fixed
Poland,153.6,132.6,3017.0,2022,fixed
Portugal,162.7,166.4,2338.5,2022,fixed
Puerto Rico,108.3,105.2,1233.5,2022,fixed
Qatar,133.4,127.3,508.0,2022,fixed
Republic of Macedonia,36.1,27.2,337.4,2022,fixed
Republic of the Congo,34.0,31.5,22.6,2022,fixed
Romania,184.2,150.7,1463.4,2022,fixed
Russia,93.5,79.4,15316.7,2022,fixed
Rwanda,24.8,16.4,12.8,2022,fixed
Saint Helena,2.8,3.1,0.0,2022,fixed
Saint Kitts and Nevis,42.2,37.2,11.7,2022,fixed
Saint Lucia,136.5,136.5,14.5,2022,fixed
Saint Martin,30.0,41.6,29.3,2022,fixed
Saint Pierre and Miquelon,75.5,69.5,0.2,2022,fixed
Saint Vincent and the Grenadines,123.3,124.0,9.1,2022,fixed
Saint-Barthélemy,13.9,13.9,0.2,2022,fixed
Samoa,11.0,11.8,0.0,2022,fixed
San Marino,80.1,82.7,5.9,2022,fixed
Saudi Arabia,102.5,79.6,6508.5,2022,fixed
Senegal,29.2,21.6,46.1,2022,fixed
Serbia,78.0,64.9,960.6,2022,fixed
Seychelles,31.7,33.3,3.0,2022,fixed
Sierra Leone,17.7,11.8,3.7,2022,fixed
Singapore,247.4,251.5,1164.0,2022,fixed
Slovakia,111.5,95.6,847.5,2022,fixed
Slovenia,103.1,101.1,332.8,2022,fixed
Solomon Islands,18.6,15.1,0.1,2022,fixed
Somalia,13.0,10.4,12.6,2022,fixed
South Africa,49.8,32.2,4208.2,2022,fixed
South Korea,188.5,183.3,646.4,2022,fixed
South Sudan,8.7,7.0,2.4,2022,fixed
Spain,183.5,193.3,4599.1,2022,fixed
Sri Lanka,21.5,20.8,530.1,2022,fixed
Sudan,7.2,7.2,29.2,2022,fixed
Suriname,13.6,13.0,38.9,2022,fixed
Sweden,155.1,155.8,789.5,2022,fixed
Switzerland,203.2,202.2,1453.4,2022,fixed
Syria,11.2,5.6,959.7,2022,fixed
São Tomé and Príncipe,19.3,18.6,1.9,2022,fixed
Tajikistan,25.7,21.3,19.1,2022,fixed
Tanzania,17.1,14.0,33.9,2022,fixed
Thailand,222.0,205.1,8833.9,2022,fixed
The Bahamas,86.0,87.9,31.4,2022,fixed
The Gambia,7.7,6.9,8.6,2022,fixed
Togo,26.4,21.8,268.8,2022,fixed
Tonga,40.2,37.0,0.2,2022,fixed
Trinidad and Tobago,95.5,90.2,214.4,2022,fixed
Tunisia,9.4,8.8,1010.0,2022,fixed
Turkey,47.0,39.6,5367.2,2022,fixed
Turkmenistan,3.4,3.2,63.8,2022,fixed
Turks and Caicos Islands,53.1,46.1,4.0,2022,fixed
Uganda,14.9,11.4,37.9,2022,fixed
Ukraine,69.8,56.9,4213.2,2022,fixed
United Arab Emirates,205.6,176.7,1972.5,2022,fixed
United Kingdom,121.6,121.2,28077.6,2022,fixed
United States Virgin Islands,56.9,57.5,23.9,2022,fixed
United States of America,211.4,214.3,76961.9,2022,fixed
Uruguay,139.2,138.6,137.1,2022,fixed
Uzbekistan,43.5,38.2,377.1,2022,fixed
Vanuatu,13.1,12.8,2.0,2022,fixed
Venezuela,31.5,21.7,2492.2,2022,fixed
Vietnam,80.5,74.3,7268.8,2022,fixed
Wallis and Futuna,7.9,8.9,0.1,2022,fixed
Yemen,6.8,6.2,160.3,2022,fixed
Zambia,11.0,9.8,8.1,2022,fixed
Zimbabwe,11.5,9.5,26.3,2022,fixed
eSwatini,14.4,12.1,9.6,2022,fixed
Afghanistan,7.2,6.6,14.3,2023,mobile
Albania,52.4,50.1,34.8,2023,mobile
Algeria,28.3,27.9,450.8,2023,mobile
American Samoa,23.5,25.3,0.1,2023,mobile
Andorra,123.0,118.0,0.6,2023,mobile
Angola,35.4,23.8,10.9,2023,mobile
Anguilla,32.8,31.4,0.2,2023,mobile
Antigua and Barbuda,34.8,34.7,0.9,2023,mobile
Argentina,40.3,34.3,226.2,2023,mobile
Armenia,30.0,30.5,57.0,2023,mobile
Aruba,80.4,81.9,4.6,2023,mobile
Australia,153.7,150.2,898.9,2023,mobile
Australian Indian Ocean Territories,14.3,,0.0,2023,mobile
Austria,101.9,97.8,368.7,2023,mobile
Azerbaijan,49.0,43.6,65.9,2023,mobile
Bahrain,219.9,214.4,34.2,2023,mobile
Bangladesh,27.4,24.4,332.8,2023,mobile
Barbados,34.9,35.4,1.2,2023,mobile
Belarus,35.6,23.8,270.4,2023,mobile
Belgium,101.9,86.4,119.8,2023,mobile
Belize,21.0,19.9,4.0,2023,mobile
Benin,55.6,39.7,15.0,2023,mobile
Bermuda,36.7,34.0,0.1,2023,mobile
Bhutan,65.0,43.1,9.9,2023,mobile
Bolivia,15.5,14.7,226.3,2023,mobile
Bosnia and Herzegovina,34.7,28.7,81.9,2023,mobile
Botswana,66.9,63.0,6.4,2023,mobile
Brazil,124.5,82.8,2843.9,2023,mobile
British Indian Ocean Territory,4.0,,0.0,2023,mobile
British Virgin Islands,38.6,42.1,0.6,2023,mobile
Brunei,146.6,120.6,7.9,2023,mobile
Bulgaria,197.6,131.6,308.6,2023,mobile
Burkina Faso,33.9,30.5,5.0,2023,mobile
Burundi,7.1,6.2,5.8,2023,mobile
Cambodia,28.1,25.3,180.5,2023,mobile
Cameroon,14.4,16.0,10.0,2023,mobile
Canada,118.5,113.8,660.0,2023,mobile
Cape Verde,28.8,19.3,1.2,2023,mobile
Cayman Islands,80.7,78.7,0.7,2023,mobile
Central African Republic,3.0,3.8,0.7,2023,mobile
Chad,24.5,24.2,2.4,2023,mobile
Chile,73.3,66.3,735.1,2023,mobile
Colombia,18.5,17.2,785.5,2023,mobile
Comoros,28.7,26.3,0.1,2023,mobile
Cook Islands,41.8,41.5,0.3,2023,mobile
Costa Rica,38.8,37.0,116.0,2023,mobile
Croatia,192.2,141.7,359.7,2023,mobile
Cuba,9.5,10.2,21.0,2023,mobile
Curaçao,49.2,50.1,1.3,2023,mobile
Cyprus,120.1,113.7,61.4,2023,mobile
Czech Republic,85.9,76.5,222.2,2023,mobile
Democratic Republic of the Congo,24.5,21.7,13.4,2023,mobile
Denmark,211.8,212.7,176.7,2023,mobile
Djibouti,30.2,31.6,1.2,2023,mobile
Dominica,30.2,31.7,0.4,2023,mobile
Dominican Republic,50.9,41.3,139.1,2023,mobile
East Timor,4.8,4.3,2.5,2023,mobile
Ecuador,27.4,28.1,103.7,2023,mobile
Egypt,27.6,23.0,311.2,2023,mobile
El Salvador,29.8,28.1,136.0,2023,mobile
Equatorial Guinea,17.1,14.9,0.2,2023,mobile
Eritrea,1.7,1.7,0.0,2023,mobile
Estonia,115.9,114.9,105.6,2023,mobile
Ethiopia,57.1,40.6,74.8,2023,mobile
Faroe Islands,312.6,242.5,1.8,2023,mobile
Federated States of Micronesia,57.8,44.2,0.1,2023,mobile
Fiji,27.4,25.9,9.6,2023,mobile
Finland,152.0,141.4,915.6,2023,mobile
France,126.6,123.9,963.9,2023,mobile
French Polynesia,24.1,22.1,1.9,2023,mobile
Gabon,34.4,33.6,1.6,2023,mobile
Georgia,40.5,38.3,48.6,2023,mobile
Germany,98.4,91.2,1520.6,2023,mobile
Ghana,16.9,18.1,25.1,2023,mobile
Greece,111.8,107.8,689.2,2023,mobile
Greenland,108.8,136.3,0.4,2023,mobile
Grenada,43.8,39.2,0.2,2023,mobile
Guam,32.7,31.0,7.1,2023,mobile
Guantanamo Bay Naval Base,72.0,97.6,0.1,2023,mobile
Guatemala,60.5,40.9,154.4,2023,mobile
Guernsey,51.2,47.5,1.1,2023,mobile
Guinea,12.2,10.9,1.6,2023,mobile
Guinea-Bissau,77.8,31.0,0.6,2023,mobile
Guyana,39.1,38.1,5.7,2023,mobile
Haiti,14.2,14.3,10.1,2023,mobile
Honduras,39.1,39.6,49.3,2023,mobile
Hong Kong,118.8,115.9,317.6,2023,mobile
Hungary,91.9,75.2,366.2,2023,mobile
Iceland,172.2,153.1,7.5,2023,mobile
India,176.4,110.8,16060.8,2023,mobile
Indonesia,29.0,28.7,6594.3,2023,mobile
Iran,44.3,42.1,1625.0,2023,mobile
Iraq,37.4,32.9,174.8,2023,mobile
Ireland,83.2,82.0,283.4,2023,mobile
Isle of Man,39.6,39.2,2.9,2023,mobile
Israel,84.6,77.7,258.3,2023,mobile
Italy,82.9,82.3,4240.9,2023,mobile
Ivory Coast,33.9,30.7,18.7,2023,mobile
Jamaica,35.1,37.2,12.1,2023,mobile
Japan,78.7,71.9,937.9,2023,mobile
Jersey,42.9,42.3,1.2,2023,mobile
Jordan,36.6,32.1,192.1,2023,mobile
Kazakhstan,63.4,45.5,534.5,2023,mobile
Kenya,50.4,35.8,51.7,2023,mobile
Kiribati,59.8,66.9,0.0,2023,mobile
Kosovo,49.0,30.1,14.7,2023,mobile
Kuwait,217.7,217.5,188.5,2023,mobile
Kyrgyzstan,31.6,31.1,49.0,2023,mobile
Laos,33.4,32.4,339.2,2023,mobile
Latvia,120.2,106.3,163.5,2023,mobile
Lebanon,33.6,34.1,21.0,2023,mobile
Lesotho,28.3,24.4,2.8,2023,mobile
Liberia,24.1,21.4,3.1,2023,mobile
Libya,19.5,18.9,76.1,2023,mobile
Liechtenstein,69.7,73.1,0.6,2023,mobile
Lithuania,125.7,108.2,208.0,2023,mobile
Luxembourg,127.3,117.6,12.8,2023,mobile
Macau,174.0,174.0,3.7,2023,mobile
Madagascar,31.4,23.2,4.6,2023,mobile
Malawi,28.3,23.7,5.7,2023,mobile
Malaysia,164.3,146.9,4124.8,2023,mobile
Maldives,106.5,108.8,0.2,2023,mobile
Mali,38.3,32.5,6.0,2023,mobile
Malta,105.2,89.1,22.7,2023,mobile
Mauritania,24.3,21.7,8.5,2023,mobile
Mauritius,80.3,64.3,24.4,2023,mobile
Mexico,45.6,37.0,1198.5,2023,mobile
Moldova,42.3,38.6,27.1,2023,mobile
Monaco,210.5,202.6,16.9,2023,mobile
Mongolia,49.2,32.5,24.9,2023,mobile
Montenegro,56.3,49.8,33.2,2023,mobile
Morocco,44.8,42.1,194.4,2023,mobile
Mozambique,31.0,24.4,28.2,2023,mobile
Myanmar,29.7,26.0,144.5,2023,mobile
Namibia,31.3,22.5,9.7,2023,mobile
Nauru,26.9,26.9,0.0,2023,mobile
Nepal,47.4,24.4,26.4,2023,mobile
Netherlands,117.7,117.2,249.2,2023,mobile
New Caledonia,24.6,32.4,0.5,2023,mobile
New Zealand,138.0,128.2,71.6,2023,mobile
Nicaragua,25.4,25.8,51.8,2023,mobile
Niger,10.4,10.2,2.4,2023,mobile
Nigeria,70.8,45.4,113.5,2023,mobile
Niue,31.8,34.2,0.1,2023,mobile
Norfolk Island,25.7,25.7,0.0,2023,mobile
North Korea,73.1,101.5,0.1,2023,mobile
Northern Mariana Islands,34.0,35.2,0.2,2023,mobile
Norway,182.0,191.2,120.4,2023,mobile
Oman,133.9,126.3,55.3,2023,mobile
Pakistan,20.2,19.5,2053.4,2023,mobile
Palau,28.9,22.5,0.1,2023,mobile
Palestine,46.9,27.0,73.3,2023,mobile
Panama,25.8,25.2,78.5,2023,mobile
Papua New Guinea,26.5,25.8,11.2,2023,mobile
Paraguay,31.7,26.6,35.5,2023,mobile
People's Republic of China,161.9,168.3,5326.5,2023,mobile
Peru,26.1,25.2,508.8,2023,mobile
Philippines,62.9,45.9,2521.0,2023,mobile
Poland,59.3,58.1,1148.2,2023,mobile
Portugal,143.2,140.2,211.7,2023,mobile
Puerto Rico,135.8,132.9,153.6,2023,mobile
Qatar,251.4,229.1,48.4,2023,mobile
Republic of Macedonia,133.0,86.5,105.1,2023,mobile
Republic of the Congo,34.8,29.8,6.4,2023,mobile
Romania,84.7,51.8,516.8,2023,mobile
Russia,34.1,34.1,4990.4,2023,mobile
Rwanda,22.2,18.2,10.9,2023,mobile
Saint Helena,5.4,9.2,0.0,2023,mobile
Saint Kitts and Nevis,25.9,26.6,0.6,2023,mobile
Saint Lucia,30.1,27.2,0.6,2023,mobile
Saint Martin,29.6,29.9,1.7,2023,mobile
Saint Pierre and Miquelon,1.5,1.5,0.0,2023,mobile
Saint Vincent and the Grenadines,33.6,40.4,0.5,2023,mobile
Saint-Barthélemy,36.0,36.0,0.0,2023,mobile
Samoa,24.4,26.9,0.9,2023,mobile
San Marino,24.4,23.9,0.6,2023,mobile
Saudi Arabia,130.9,134.7,1551.4,2023,mobile
Senegal,37.4,32.9,5.9,2023,mobile
Serbia,64.1,59.4,168.0,2023,mobile
Seychelles,35.2,40.2,0.3,2023,mobile
Sierra Leone,38.9,26.5,3.5,2023,mobile
Singapore,155.9,163.7,228.1,2023,mobile
Slovakia,74.7,64.1,103.1,2023,mobile
Slovenia,102.4,97.3,99.9,2023,mobile
Solomon Islands,19.0,19.8,0.1,2023,mobile
Somalia,27.9,35.7,21.0,2023,mobile
South Africa,76.0,56.2,362.2,2023,mobile
South Korea,296.5,286.7,195.7,2023,mobile
South Sudan,23.7,15.6,1.8,2023,mobile
Spain,84.4,85.4,598.2,2023,mobile
Sri Lanka,29.9,20.0,201.5,2023,mobile
Sudan,18.2,15.2,20.2,2023,mobile
Suriname,59.7,45.7,4.2,2023,mobile
Sweden,150.9,162.8,127.0,2023,mobile
Switzerland,145.9,140.0,263.9,2023,mobile
Syria,17.9,15.0,88.9,2023,mobile
São Tomé and Príncipe,28.6,28.2,1.3,2023,mobile
Tajikistan,19.2,14.1,30.2,2023,mobile
Tanzania,45.4,33.6,35.1,2023,mobile
Thailand,73.9,60.4,3763.9,2023,mobile
The Bahamas,34.0,36.1,1.3,2023,mobile
The Gambia,115.9,55.1,1.8,2023,mobile
Togo,41.9,40.2,7.0,2023,mobile
Tonga,29.1,36.3,1.1,2023,mobile
Trinidad and Tobago,37.5,36.9,12.8,2023,mobile
Tunisia,32.5,30.2,107.3,2023,mobile
Turkey,43.6,42.2,574.6,2023,mobile
Turkmenistan,19.7,16.5,1.8,2023,mobile
Turks and Caicos Islands,32.8,29.3,0.2,2023,mobile
Uganda,48.0,30.4,19.7,2023,mobile
Ukraine,29.3,28.2,700.1,2023,mobile
United Arab Emirates,361.1,266.5,170.2,2023,mobile
United Kingdom,95.8,89.8,2142.3,2023,mobile
United States Virgin Islands,41.5,43.1,2.0,2023,mobile
United States of America,178.4,176.9,9377.2,2023,mobile
Uruguay,154.6,117.8,34.1,2023,mobile
Uzbekistan,37.5,24.1,163.2,2023,mobile
Vanuatu,20.0,19.3,1.4,2023,mobile
Venezuela,20.2,14.9,145.8,2023,mobile
Vietnam,51.8,51.5,1262.5,2023,mobile
Wallis and Futuna,0.2,0.2,0.0,2023,mobile
Yemen,9.8,10.8,117.2,2023,mobile
Zambia,28.2,24.4,18.7,2023,mobile
Zimbabwe,33.6,31.6,16.3,2023,mobile
eSwatini,36.1,27.3,5.2,2023,mobile
Afghanistan,4.4,4.6,49.5,2023,fixed
Albania,66.9,58.9,348.6,2023,fixed
Algeria,18.5,15.0,1096.7,2023,fixed
American Samoa,47.8,55.5,1.9,2023,fixed
Andorra,141.8,147.1,15.0,2023,fixed
Angola,19.8,16.2,30.2,2023,fixed
Anguilla,97.6,99.0,4.0,2023,fixed
Antigua and Barbuda,37.2,37.0,10.9,2023,fixed
Argentina,105.6,91.2,3136.6,2023,fixed
Armenia,72.2,58.3,315.7,2023,fixed
Aruba,109.8,112.6,28.2,2023,fixed
Australia,89.0,85.6,5744.4,2023,fixed
Australian Indian Ocean Territories,8.0,,0.0,2023,fixed
Austria,103.2,99.6,1507.3,2023,fixed
Azerbaijan,32.8,25.2,924.6,2023,fixed
Bahrain,89.8,90.7,114.0,2023,fixed
Bangladesh,40.9,30.9,721.6,2023,fixed
Barbados,149.8,150.0,32.8,2023,fixed
Belarus,71.4,64.2,462.4,2023,fixed
Belgium,160.2,155.8,1423.7,2023,fixed
Belize,52.0,46.6,45.0,2023,fixed
Benin,25.6,27.1,13.3,2023,fixed
Bermuda,169.0,166.4,4.1,2023,fixed
Bhutan,22.0,16.0,10.3,2023,fixed
Bolivia,32.7,27.1,835.5,2023,fixed
Bosnia and Herzegovina,45.4,34.6,480.0,2023,fixed
Botswana,14.0,11.1,41.7,2023,fixed
Brazil,168.8,155.1,31809.3,2023,fixed
British Indian Ocean Territory,21.9,,0.0,2023,fixed
British Virgin Islands,161.5,161.9,9.8,2023,fixed
Brunei,78.0,75.5,61.5,2023,fixed
Bulgaria,105.5,89.2,671.1,2023,fixed
Burkina Faso,49.7,44.1,41.5,2023,fixed
Burundi,17.2,14.6,2.7,2023,fixed
Cambodia,34.7,29.3,667.1,2023,fixed
Cameroon,27.3,29.2,21.5,2023,fixed
Canada,226.8,233.4,9726.8,2023,fixed
Cape Verde,24.7,15.3,9.2,2023,fixed
Cayman Islands,135.8,146.8,17.9,2023,fixed
Central African Republic,32.6,20.9,0.3,2023,fixed
Chad,52.4,69.4,2.1,2023,fixed
Chile,273.7,254.8,2401.3,2023,fixed
Colombia,139.7,102.4,4989.5,2023,fixed
Comoros,10.6,11.0,0.2,2023,fixed
Cook Islands,45.2,44.5,1.3,2023,fixed
Costa Rica,95.9,84.0,1595.7,2023,fixed
Croatia,104.9,84.5,753.5,2023,fixed
Cuba,6.4,4.1,10.1,2023,fixed
Curaçao,86.4,86.7,35.9,2023,fixed
Cyprus,85.7,83.3,329.1,2023,fixed
Czech Republic,103.2,90.0,926.7,2023,fixed
Democratic Republic of the Congo,30.7,34.4,15.8,2023,fixed
Denmark,222.6,219.8,1384.2,2023,fixed
Djibouti,23.7,20.6,2.8,2023,fixed
Dominica,112.5,105.5,5.2,2023,fixed
Dominican Republic,38.3,34.2,1499.5,2023,fixed
East Timor,17.2,10.3,0.3,2023,fixed
Ecuador,94.8,79.4,2342.4,2023,fixed
Egypt,25.0,16.7,3577.4,2023,fixed
El Salvador,52.2,42.7,741.8,2023,fixed
Equatorial Guinea,9.1,8.5,0.6,2023,fixed
Eritrea,21.7,35.2,0.7,2023,fixed
Estonia,108.3,101.9,164.5,2023,fixed
Ethiopia,15.2,10.4,42.1,2023,fixed
Falkland Islands,24.1,5.0,0.0,2023,fixed
Faroe Islands,75.4,65.5,8.2,2023,fixed
Federated States of Micronesia,36.7,19.8,0.8,2023,fixed
Fiji,34.1,23.2,16.7,2023,fixed
Finland,158.0,156.3,1004.3,2023,fixed
France,255.5,254.0,5231.1,2023,fixed
French Polynesia,41.5,34.4,20.5,2023,fixed
French Southern and Antarctic Lands,192.9,,0.0,2023,fixed
Gabon,41.0,38.4,18.6,2023,fixed
Georgia,28.9,25.5,151.0,2023,fixed
Germany,133.9,126.4,10667.6,2023,fixed
Ghana,44.9,43.1,43.9,2023,fixed
Greece,63.7,55.3,2674.8,2023,fixed
Greenland,29.7,40.8,5.2,2023,fixed
Grenada,104.9,102.8,4.2,2023,fixed
Guam,61.6,61.4,27.1,2023,fixed
Guatemala,56.8,39.2,1027.5,2023,fixed
Guernsey,77.5,73.7,27.8,2023,fixed
Guinea,14.8,12.2,3.2,2023,fixed
Guinea-Bissau,4.9,5.8,1.3,2023,fixed
Guyana,72.7,67.4,36.3,2023,fixed
Haiti,44.6,45.6,33.9,2023,fixed
Honduras,41.3,33.9,388.9,2023,fixed
Hong Kong,285.6,289.5,1357.2,2023,fixed
Hungary,202.8,195.4,1370.1,2023,fixed
Iceland,243.2,264.0,41.8,2023,fixed
India,82.8,52.1,25299.0,2023,fixed
Indonesia,29.5,23.8,14435.0,2023,fixed
Iran,21.0,16.1,1156.4,2023,fixed
Iraq,38.5,22.2,598.3,2023,fixed
Ireland,167.7,174.9,1773.5,2023,fixed
Isle of Man,91.4,90.8,33.2,2023,fixed
Israel,241.7,224.1,1456.9,2023,fixed
Italy,150.1,144.4,12523.8,2023,fixed
Ivory Coast,73.2,49.2,46.5,2023,fixed
Jamaica,72.2,68.0,215.9,2023,fixed
Japan,214.0,210.2,4161.9,2023,fixed
Jersey,179.0,179.0,28.6,2023,fixed
Jordan,144.0,98.3,1542.9,2023,fixed
Kazakhstan,72.0,49.4,1193.8,2023,fixed
Kenya,15.8,13.4,358.1,2023,fixed
Kiribati,58.9,51.7,0.1,2023,fixed
Kosovo,78.6,66.4,286.9,2023,fixed
Kuwait,153.7,143.5,235.9,2023,fixed
Kyrgyzstan,46.1,41.9,86.4,2023,fixed
Laos,53.6,43.6,117.0,2023,fixed
Latvia,133.6,123.8,289.2,2023,fixed
Lebanon,17.6,17.0,485.3,2023,fixed
Lesotho,28.4,23.7,2.1,2023,fixed
Liberia,13.1,10.7,2.5,2023,fixed
Libya,15.5,15.4,245.5,2023,fixed
Liechtenstein,197.5,193.3,6.7,2023,fixed
Lithuania,161.2,129.9,300.3,2023,fixed
Luxembourg,199.0,195.0,151.9,2023,fixed
Macau,175.2,175.2,18.4,2023,fixed
Madagascar,34.1,31.9,11.2,2023,fixed
Malawi,52.6,34.5,6.6,2023,fixed
Malaysia,162.9,151.9,5541.3,2023,fixed
Maldives,26.6,29.3,1.1,2023,fixed
Mali,23.9,23.4,20.9,2023,fixed
Malta,170.3,168.8,103.8,2023,fixed
Marshall Islands,80.8,80.8,0.0,2023,fixed
Mauritania,18.7,14.5,29.8,2023,fixed
Mauritius,56.8,53.5,90.8,2023,fixed
Mexico,74.2,61.9,19139.1,2023,fixed
Moldova,141.8,103.7,152.7,2023,fixed
Monaco,267.2,258.2,9.8,2023,fixed
Mongolia,58.6,59.9,28.6,2023,fixed
Montenegro,83.3,83.2,99.6,2023,fixed
Montserrat,59.9,66.5,0.0,2023,fixed
Morocco,35.4,32.8,2403.4,2023,fixed
Mozambique,26.5,20.8,39.6,2023,fixed
Myanmar,23.0,19.9,857.1,2023,fixed
Namibia,17.6,11.4,66.6,2023,fixed
Nauru,35.3,35.3,0.0,2023,fixed
Nepal,72.6,55.5,593.4,2023,fixed
Netherlands,206.5,195.5,4794.8,2023,fixed
New Caledonia,97.8,86.2,9.2,2023,fixed
New Zealand,186.3,193.2,726.1,2023,fixed
Nicaragua,64.5,53.4,271.0,2023,fixed
Niger,19.5,20.3,7.3,2023,fixed
Nigeria,35.5,37.3,138.0,2023,fixed
Niue,21.0,20.1,0.0,2023,fixed
Norfolk Island,93.5,93.5,0.5,2023,fixed
North Korea,117.0,119.7,0.1,2023,fixed
Northern Mariana Islands,62.5,63.5,1.3,2023,fixed
Norway,183.2,180.8,1352.5,2023,fixed
Oman,92.8,85.6,1073.7,2023,fixed
